source_id,authority,title,source_type,publication_date,checked_date,url,use_in_engine,precedence,implementation_status,notes
LAW_IE_SI_588_2025,Irish Statute Book,S.I. No. 588/2025 — European Union (Good Agricultural Practice for Protection of Waters) Regulations 2025,STATUTORY,2025-12-12,2026-08-26,https://www.irishstatutebook.ie/eli/2025/si/588/made/en/print,"Base 2026 GAP/Nitrates rules including Article 17, Schedules, closed periods, buffers, manure values, P tables and soil-test rules.","Highest legal authority, except where expressly amended by later law.",APPROVED_CURRENT_AS_AMENDED,Never copy a base provision without resolving S.I. 119/2026 amendment precedence.
LAW_IE_SI_119_2026,Irish Statute Book,S.I. No. 119/2026 — European Union (Good Agricultural Practice for Protection of Waters) (Amendment) Regulations 2026,STATUTORY_AMENDMENT,2026-04-03,2026-08-26,https://www.irishstatutebook.ie/eli/2026/si/119/made/en/print,"Current 2026 amendments including Table 7 livestock excretion, Tables 13–14, georeference wording and lime transitional provision.",Overrides S.I. 588/2025 wherever it amends it.,APPROVED_CURRENT,Ruleset resolver must combine base + amendment; never maintain competing hard-coded copies.
GOV_IE_SIXTH_NAP,Government of Ireland,Sixth Nitrates Action Programme,OFFICIAL_POLICY_FRAMEWORK,2025-12-05,2026-08-26,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/publications/sixth-nitrates-action-programme/,Programme context and effective period; legislation remains calculation authority.,Context only; statute controls compliance calculations.,APPROVED_CURRENT,Sixth NAP effective from 1 January 2026.
TEAGASC_SOIL_SAMPLING,Teagasc,Soil Sampling,ADVISORY/COMPLIANCE_GUIDANCE,,2026-08-26,https://teagasc.ie/environment/soil/soil-fertility/soil-analysis/soil-sampling/,"Sampling technique, representative area, validity explanation and georeferencing guidance.",Use statute for legal determination; Teagasc for implementation/advisory explanation.,APPROVED_CURRENT,Four-year nutrient use must honour the statutory Index-4 persistence exception.
TEAGASC_GREENBOOK_2020,Teagasc,"Major & Micro Nutrient Advice for Productive Agricultural Crops, 5th Edition",SCIENTIFIC_ADVISORY_BASELINE,2020,2026-08-26,https://teagasc.ie/environment/soil/soil-fertility/fertiliser-advice/,Agronomic nutrient-advice baseline where not superseded by current legislation or newer Teagasc guidance.,Agronomic baseline only; never overrides current statute.,APPROVED_WITH_TABLE_LEVEL_VERIFICATION,Raw extraction in this pack is reference-only until source-page headers/units/footnotes are checked.
TEAGASC_PH_LIME,Teagasc,Soil pH / Liming,SCIENTIFIC_ADVISORY,,2026-08-26,https://teagasc.ie/environment/soil/soil-fertility/crop-nutrition/soil-ph-liming/,Target pH context and laboratory buffering/lime-requirement principle.,Agronomic advisory.,APPROVED_CURRENT,"Exact lime t/ha must come from a laboratory lime requirement/buffer test, not pH alone."
TEAGASC_ORGANIC_MANURES,Teagasc,Organic Manures,SCIENTIFIC_ADVISORY,,2026-08-26,https://teagasc.ie/environment/soil/soil-fertility/fertiliser-advice/organic-manures/,Agronomic fertiliser-replacement values for slurry/manures.,Agronomic ledger only; legal ledger uses statutory values.,APPROVED_CURRENT,Measured composition outranks a default for agronomic planning when scientifically appropriate.
TEAGASC_FODDER_2026_08_26,Teagasc,Assessing Winter Feed Stocks,CURRENT_IRISH_ADVISORY,2026-08-26,2026-08-26,https://teagasc.ie/news--events/daily/assessing-winter-feed-stocks/,"Current whole-farm fresh-weight silage planning coefficients across dairy cows, suckler cows, 0–1, 1–2, 2+ cattle and ewes.",Preferred current basic fodder-planning table.,APPROVED_CURRENT,"Planning coefficients, not individual-animal nutritional equations. Actual winter months, liveweight, forage quality, wastage and meal alter demand."
TEAGASC_BEEF_SILAGE_2026_07,Teagasc,Making quality silage on beef farms,CURRENT_IRISH_RESEARCH/ADVISORY,2026-07-01,2026-08-26,https://teagasc.ie/insights/making-quality-silage-on-beef-farms/,"Beef-class fresh-weight/bale requirements, silage DMD suitability and 15–20% reserve guidance.",Preferred current beef silage-planning source.,APPROVED_CURRENT,DM losses can be 15–30% of crop DM; avoid double-counting losses once stored feed is measured.
TEAGASC_BEEF_2026_FORAGE,Teagasc,Producing beef from grass-forage-based systems,CURRENT_IRISH_RESEARCH,2026-07-01,2026-08-26,https://teagasc.ie/insights/producing-beef-from-grass-forage-based-systems/,Current animal/feed DMI examples and 2026 feed costing model.,Exact scenario reference only.,APPROVED_CURRENT,Do not generalise 650 kg cow / 350 kg weanling examples into a universal intake equation.
TEAGASC_BEEF_2026_FINISHING,Teagasc,Nutritional management of finishing beef cattle,CURRENT_IRISH_RESEARCH,2026-07-01,2026-08-26,https://teagasc.ie/insights/nutritional-management-of-finishing-beef-cattle/,"Finishing performance, silage DMD response, concentrate supplementation and economic context.",Use only within stated finishing-cattle scope.,APPROVED_CURRENT_CONDITIONAL,A 2% liveweight DMI example is not a universal Farm Return feed model.
TEAGASC_DAIRYBEEF_DMD,Teagasc,Silage Quality and Concentrate Supplementation — DairyBeef 500,SCIENTIFIC_ADVISORY,,2026-08-26,https://teagasc.ie/animals/beef/dairy-calf-to-beef/dairybeef-500/dairybeef-500-factsheets/silage-quality-and-concentrate-supplementation/,"DMD-specific concentrate rates, target ADG, protein and energy guidance for defined dairy-beef classes.",Validated lookup for exact matching scenarios.,APPROVED_CONDITIONAL,No interpolation/extrapolation unless a separately validated model is activated.
TEAGASC_SHEEP_2026,Teagasc,Why high quality silage is better for ewes. And you,CURRENT_IRISH_ADVISORY/RESEARCH_SUMMARY,2026-04-26,2026-08-26,https://teagasc.ie/news--events/daily/why-high-quality-silage-is-better-for-ewes-and-you/,2026 lowland ewe fodder guideline and twin-bearing late-pregnancy DMD/chop concentrate table.,Use only for matching ewe scenario.,APPROVED_CONDITIONAL,"Litter size, stage, body condition and forage management remain required context."
TEAGASC_CLOVER_BEEF_2026,Teagasc,Management of red and white clover in Irish beef grass-based systems,CURRENT_IRISH_RESEARCH/ADVISORY,2026-07-01,2026-08-26,https://teagasc.ie/insights/management-of-red-and-white-clover-in-irish-beef-grass-based-systems/,Drystock white-clover N strategy by April clover content and clover establishment/fertility context.,Supported scenario only; legal N cap still applies.,APPROVED_CONDITIONAL,Do not turn clover presence into a fixed N credit.
TEAGASC_CLOVER_DAIRY_2026,Teagasc,Today's Farm April–June 2026 — clover fertiliser-N strategy,CURRENT_IRISH_ADVISORY,2026-04,2026-08-26,https://teagasc.ie/wp-content/uploads/uploads/media/website/publications/2026/Todays-Farm-Web-Access-Edition-Apr-Jun-2026.pdf,Dairy grazing N strategy by April clover-content class.,Supported dairy grazing scenario only; legal cap overrides.,SUPERSEDED_BY_CURRENT_SOURCE_ID,No interpolation between clover classes unless separately approved. V3 uses TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026 for the current 2026 table.
TEAGASC_SOIL_INDEX,Teagasc,Soil Index System,SCIENTIFIC_ADVISORY,,2026-08-26,https://teagasc.ie/environment/soil/soil-fertility/soil-analysis/soil-index-system/,Current Teagasc P/K/Mg index descriptions and Morgan-test ranges.,Agronomic classification; legal P classification uses statute.,APPROVED_CURRENT,The same printed 8.01/10.01 P boundary anomaly appears in current materials; v2 contains a guarded ambiguity rule.
MET_SMD,Met Éireann,Agri-Meteorological Data — Soil Moisture Deficit Model,OFFICIAL_MODEL,,2026-08-26,https://www.met.ie/climate/services/agri-meteorological-data,Official Irish SMD by drainage class for agronomic/environmental context.,Official model output.,APPROVED_CURRENT,SMD is not converted into an invented legal threshold.
MET_WARNINGS_JSON,Met Éireann,Weather warnings/open data,OFFICIAL_LIVE,,2026-08-26,https://www.met.ie/about-us/specialised-services/widgets,Live warning status used as weather evidence within current legal/weather gate.,Official live data.,APPROVED_INTERFACE_REQUIRES_RUNTIME_TEST,Cache expiry/currentness must be enforced; warning data cannot be treated as static.
CSO_AG_PRICES,Central Statistics Office,Agricultural Price Indices / PxStat agricultural datasets,OFFICIAL_MARKET_DATA,2026-08-14,2026-08-26,https://www.cso.ie/en/releasesandpublications/ep/p-api/agriculturalpriceindicesjune2026/data/,"Market scenario inputs including cattle, feed, fertiliser and aggregate input/output price series.",Official market data; farm-specific sale facts remain user data.,APPROVED_DATA_SOURCE,"Never infer farmer sale intention, grade, weight or route from market prices."
TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,Teagasc,Today's Farm April–June 2026 — Dairy spring-summer management tips,CURRENT_IRISH_ADVISORY,2026-04,2026-08-26,https://teagasc.ie/wp-content/uploads/uploads/media/website/publications/2026/Todays-Farm-Web-Access-Edition-Apr-Jun-2026.pdf,Current dairy chemical-N schedule by April clover content; includes whole-farm 212 kg N/ha note and soiled-water rows.,Advisory strategy only; current legal N limits override.,APPROVED_CONDITIONAL,Use exact source classes only; no interpolation. Report the exact row used.
