calculation_id,domain,required_inputs,equation_or_rule,output,missing_input_behaviour,primary_source,must_not_do
AGRONOMIC_SLURRY_NPK,nutrients,volume; measured or classified DM%; season; application method; soil P/K index,"volume × Teagasc agronomic available-N/P/K value, with applicable index adjustment",agronomic available N/P/K contribution,estimated only if explicit default accepted; otherwise request slurry analysis/DM,TEAGASC_ORGANIC_MANURES,Do not use statutory deemed N/P coefficients as the agronomic replacement value.
COMPLIANCE_MANURE_NP,compliance,manure type; volume/mass; P index; current ruleset,statutory total nutrient value × statutory availability where required,compliance N/P ledger,BLOCK compliance calculation,LAW_IE_SI_588_2025,Do not substitute a Teagasc agronomic replacement value into legal ledger.
SPREADING_AGRONOMIC_OPPORTUNITY,spreading,legal_gate=PERMITTED; SMD/drainage; crop demand; weather; nutrient need,categorical evidence-based suitability; no unvalidated probability,Poor/Marginal/Good/Very Good + component reasons,Not scored,MET_SMD + current Teagasc nutrient guidance,No arbitrary 0–100 scientific risk probability until externally validated.
FODDER_SUPPLY_DM,feed,stored feed quantity; measured/estimated fresh mass; DM%,fresh mass × DM fraction; for bales count × representative mean bale mass × DM fraction,kg/t DM available,show ESTIMATED only if assumptions explicitly accepted,farm measurement + PastureBase method,Do not double-count ensiling/storage loss after measuring already-stored feed.
DMD_CONCENTRATE_GUIDANCE,feed,supported animal type; target ADG; laboratory silage DMD,exact lookup only in validated Teagasc DMD table,guideline concentrate kg/head/day,request silage analysis / no exact recommendation,TEAGASC_DAIRYBEEF_DMD,No interpolation or use for different enterprise/animal class without validated evidence.
SELL_HOLD_ECONOMICS,livestock_economics,current liveweight; target date; sale route/spec; projected ADG; feed/housing costs; price scenario; farmer intent,incremental expected sale value minus incremental feed/housing/finance/other costs; scenario analysis,"economic scenarios, NOT autonomous sell instruction",BLOCK recommendation; show missing data,farm data + CSO/Bord Bia/DAFM + validated performance model,Never infer 'sell now' from market price alone.
SOIL_P_INDEX,soil/compliance,crop_group; Morgan_P_mg_L; report precision; valid/current soil-test context,"classify by literal statutory ranges; if raw value falls in source micro-gap (8.00,8.01] grassland or (10.00,10.01] other crop, emit AMBIGUOUS_STATUTORY_BOUNDARY and use conservative P4 allowance treatment without falsely claiming literal classification",P index OR guarded ambiguity state + regulatory allowance treatment,BLOCK exact P recommendation,LAW_IE_SI_588_2025,Do not silently change '>8.01' to '>=8.01'; do not round raw lab values just to force a class.
SOIL_TEST_VALIDITY,soil/compliance,report/sample date; P-index result; report issue date; georef/LPIS where applicable; OM date if OM used,apply current Article17 rules including 4-year disregard rule and P-Index-4 persistence exception; apply post-14-Sep-2025 georef/LPIS requirement,VALID / INVALID / INDEX4_PERSISTED / MISSING_GEOREF / UNKNOWN + reasons,BLOCK regulated nutrient recommendation,LAW_IE_SI_588_2025; LAW_IE_SI_119_2026,Do not invalidate an old P4 result merely because four years elapsed; do not treat an undated result as current.
LIME_REQUIREMENT,soil,laboratory lime requirement/buffer-derived LR; crop/soil context; report date; statutory high-GSR context where relevant,use lab LR; separately apply current statutory high-stocking lime programme/transitional timing if triggered,agronomic lime plan + compliance timing state,No exact t/ha from pH alone; request lab LR,TEAGASC_PH_LIME; LAW_IE_SI_588_2025; LAW_IE_SI_119_2026,Never manufacture t/ha from pH.
GRASSLAND_STOCKING_RATE,compliance,current statutory livestock categories/counts/time basis; eligible grassland area,sum statutory grazing-livestock N produced before exports / entire eligible grassland area,kg N/ha grassland stocking rate,BLOCK dependent N/P/derogation rules,LAW_IE_SI_588_2025; LAW_IE_SI_119_2026,Never subtract manure exports before computing this statutory ratio.
DAIRY_COW_EXCRETION_N,compliance,milk-yield band; whether valid Table7a CP election applies; annual average concentrate CP as-fed if elected; prescribed records,use current Table7 unless valid Table7a election and CP-band conditions are satisfied,annual kg N/cow,default to current Table7 when Table7a eligibility cannot be proved,LAW_IE_SI_119_2026; LAW_IE_SI_588_2025,Do not grant lower excretion rate merely from an entered feed protein number without statutory election/records.
P_BUILD_UP_ELIGIBILITY,compliance,soil P test; OM status; approved adviser; submitted NMP; required training; stocking/derogation/non-grass conditions,all mandatory Article17(6) conditions + relevant table footnotes must pass before Table15b values can be selected,ELIGIBLE / NOT_ELIGIBLE + failed conditions,NOT_ELIGIBLE; use ordinary table only,LAW_IE_SI_588_2025,Never infer eligibility because soil is Index1/2.
MILKING_PLATFORM_N_DISTRIBUTION,compliance,milking platform declaration; platform stocking rate; applicable platform chemical-N allowance; year/effective rules,lookup current Table14 amount of dairy organic N to move outside platform,kg organic N/ha to move + threshold band,BLOCK dairy high-intensity distribution compliance result,LAW_IE_SI_119_2026,Do not use holding-wide stocking rate in place of defined milking-platform rate.
SPREADING_LEGAL_GATE,spreading/compliance,date; county; material; current dynamic exception event if any; ground status; heavy-rain forecast; slope/runoff context; buffer context,baseline closed period + any authoritative ministerial exceptional criteria event + all other legal prohibitions; any stop wins,PROHIBITED / PERMITTED / UNKNOWN + reason codes,UNKNOWN; do not recommend spreading,LAW_IE_SI_588_2025; LAW_IE_SI_119_2026,Never infer an exceptional opening from favourable weather; it requires an authoritative published event.
