gap_id,area,status,risk,required_resolution,production_action
GAP_LIME_WITHOUT_LR,lime,RESOLVED_BY_FAIL_CLOSED_INPUT_REQUIREMENT,same pH can imply different lime requirement due to buffering capacity,laboratory lime requirement/buffer test,exact t/ha is blocked until LR exists; pH status only may be shown
GAP_BASIC_ANIMAL_FODDER_DEMAND,feed quantity,RESOLVED_FOR_CURRENT_SUPPORTED_CLASSES,old pack lacked a single current whole-farm planning table,current Teagasc 26-Aug-2026 coefficients now encoded,"basic fresh-weight fodder budget supports dairy cow, suckler cow, 0–1, 1–2, 2+ cattle and ewes"
GAP_EXACT_ANIMAL_NUTRITION,feed/nutrition,PARTIALLY_RESOLVED_FAIL_CLOSED_OUTSIDE_VALIDATED_SCENARIOS,"feed intake and nutrient needs depend on class, liveweight, physiological stage, forage quality and diet",use exact validated Irish model/lookup per class or farm ration record,basic fodder budget remains available; exact nutrition/ration result blocked for unsupported scenario
GAP_DMD_MISSING,feed optimisation,RESOLVED_AS_REQUIRED_MEASUREMENT,concentrate requirement depends materially on forage quality,laboratory DMD and preferably CP/energy,no exact DMD-linked supplement recommendation without analysis
GAP_SMD_LEGAL_THRESHOLD,spreading,RESOLVED_BY_ARCHITECTURE,SMD is useful context but current law does not provide one universal numeric legal SMD cut-off,none; keep legal ground-state test separate from SMD advisory context,never turn SMD alone into a legal prohibition
GAP_100_SCORE,spreading,RESOLVED_BY_REMOVING_UNVALIDATED_CLAIM,arbitrary weights would create false scientific precision,external validation/calibration before any probabilistic interpretation,use transparent categorical opportunity rating; optional UX score cannot be labelled a validated risk probability
GAP_CLOVER_N_MODEL,nitrogen,RESOLVED_FOR_EXACT_SUPPORTED_2026_SCENARIOS,"N contribution varies with clover content, enterprise, season and management",current dairy and drystock 2026 Teagasc schedules encoded,use only exact supported enterprise/clover class; no interpolation or fixed generic clover credit
GAP_P_BUILDUP_ELIGIBILITY,phosphorus compliance,RESOLVED_CONDITIONAL,Table15b cannot be used from soil index alone,all Article17(6) conditions and footnotes encoded/proved,fail closed to standard P allowance if any eligibility condition is missing
GAP_CURRENT_MARKET_NOT_SALE_PLAN,livestock economics,RESOLVED_AS_FARM_INPUT_REQUIREMENT,"price series cannot reveal farmer intent, animal weight, grade, route or target",farmer/group sale plan and animal data,scenario analysis only until required farm data exist
GAP_EXCEPTIONAL_SPREADING_OPENING,spreading calendar,RESOLVED_BY_DYNAMIC_EVENT_ARCHITECTURE,baseline closed dates may be modified only by authoritative exceptional criteria/events,ingest/verify published Ministerial event,empty event table means baseline dates remain; weather alone cannot create an opening
GAP_RULE_CHANGE,all compliance,RESOLVED_BY_VERSIONED_RULESET_WITH_REVALIDATION,law can change mid-year,effective-dated source/version checks and controlled rule promotion,stale/unknown regulated ruleset blocks definitive compliance outputs
GAP_P_LITERAL_8_01_10_01,soil P classification,GUARDED_SOURCE_AMBIGUITY,literal statutory/current published ranges leave a micro-gap at >8.00 to <=8.01 grassland and >10.00 to <=10.01 other crops,formal source clarification or future amended text,emit AMBIGUOUS_STATUTORY_BOUNDARY; apply conservative P4 allowance treatment without claiming the literal class; preserve raw lab precision
GAP_DEROGATION_FULL_ELIGIBILITY,nitrates derogation,EXTERNAL_AUTHORISATION_AND_FULL_RULESET_REQUIRED,higher organic-N limits depend on valid application/authorisation and all Schedule 5/Ministerial conditions,current farmer authorisation + complete verified derogation module and geographic conditions,never grant >170 kg livestock-manure N/ha merely from stocking rate or farmer toggle
GAP_CLOVER_CLASS_INTERPOLATION,nitrogen,FAIL_CLOSED_BETWEEN_SUPPORTED_CLASSES,"published 2026 schedules are discrete strategy classes, not a validated continuous response curve",validated interpolation/decision protocol,no mathematical interpolation between source rows
GAP_FODDER_BASIS_MISMATCH,feed balance,RESOLVED_BY_UNIT_GATE,fresh tonnes and tonnes DM are not directly comparable,convert both sides with measured/supported DM or remain wholly on fresh-weight planning basis,block mixed-basis surplus/deficit calculation
